"","religion","income","freq"
"1"," Protestant ","<$10k",1068
"2"," Roman Catholic ","<$10k",418
"3"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","<$10k",29
"4"," Orthodox (Greek, Russian, or some other orthodox church) ","<$10k",13
"5"," Jewish (Judaism) ","<$10k",19
"6"," Muslim (Islam) ","<$10k",6
"7"," Buddhist ","<$10k",27
"8"," Hindu ","<$10k",1
"9"," Atheist (do not believe in God) ","<$10k",12
"10"," Agnostic (not sure if there is a God) ","<$10k",27
"11"," Nothing in particular ","<$10k",217
"12"," Christian (VOL) ","<$10k",24
"13"," Unitarian (Universalist) (VOL) ","<$10k",5
"14"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","<$10k",0
"15"," Mixed Christian and non-Christian (VOL) ","<$10k",2
"16"," Messianic Jews (Jews for Jesus) (VOL) ","<$10k",1
"17"," Mixed non-Christians (VOL) ","<$10k",3
"18"," Hebrew Israelite/African Hebrew Israelites (VOL) ","<$10k",1
"19"," Bahai (VOL) ","<$10k",0
"20"," Native American Religions (VOL) ","<$10k",3
"21"," Shinto (VOL) ","<$10k",0
"22"," Tao (VOL) ","<$10k",1
"23"," Rastafarian (VOL) ","<$10k",1
"24"," Sikh (VOL) ","<$10k",0
"25"," Zoroastrianism (VOL) ","<$10k",0
"26"," Siddhayoga (VOL) ","<$10k",0
"27"," New Age (VOL) ","<$10k",0
"28"," Wica (Wiccan) (VOL) ","<$10k",2
"29"," Pagan (VOL) ","<$10k",4
"30"," Humanist (VOL) ","<$10k",0
"31"," Scientology (VOL) ","<$10k",1
"32"," Deist (VOL) ","<$10k",0
"33"," Eclectic, a bit of everything, own beliefs (VOL) ","<$10k",0
"34"," New Thought (VOL) ","<$10k",0
"35"," Theosophy (VOL) ","<$10k",0
"36"," Pantheist (VOL) ","<$10k",1
"37"," Spiritual but not religious (VOL) ","<$10k",3
"38"," Liberal faith (VOL) ","<$10k",0
"39"," Asatru (Old Norse form of Paganism) (VOL) ","<$10k",0
"40"," Druid (VOL) ","<$10k",0
"41"," Transcendental meditation/Meditation (VOL) ","<$10k",0
"42"," Shamanism (non-Western) (VOL) ","<$10k",0
"43"," Eckankar (VOL) ","<$10k",1
"44"," Self realization (VOL) ","<$10k",0
"45"," Satanism (VOL) ","<$10k",0
"46"," Animism (VOL) ","<$10k",0
"47"," New Apostolic Church (VOL) ","<$10k",0
"48"," Nihilist (VOL) ","<$10k",0
"49"," Armenian Catholic (VOL) ","<$10k",0
"50"," Greek rite Catholic (VOL) ","<$10k",0
"51"," Maronite Catholic (VOL) ","<$10k",0
"52"," National Catholic; Polish National Catholic (VOL) ","<$10k",0
"53"," Old Catholic (VOL) ","<$10k",0
"54"," Not Interpretable ","<$10k",3
"55"," Don’t know/Refused (VOL) ","<$10k",12
"56"," Christian Scientists (VOL) ","<$10k",1
"57"," Religious science (VOL) ","<$10k",0
"58"," Spiritualist (VOL) ","<$10k",1
"59"," Unity; Unity Church Christ Church Unity (VOL) ","<$10k",3
"60"," Metaphysical (VOL) ","<$10k",0
"61"," Indian Shaker Church (VOL) ","<$10k",0
"62"," Unification Church (Moonies) (VOL) ","<$10k",0
"63"," Jehovah’s Witness (VOL) ","<$10k",20
"64"," International Bible Students (VOL) ","<$10k",0
"65"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","<$10k",0
"66"," Protestant ","$10-20k",1563
"67"," Roman Catholic ","$10-20k",617
"68"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$10-20k",40
"69"," Orthodox (Greek, Russian, or some other orthodox church) ","$10-20k",17
"70"," Jewish (Judaism) ","$10-20k",19
"71"," Muslim (Islam) ","$10-20k",7
"72"," Buddhist ","$10-20k",21
"73"," Hindu ","$10-20k",9
"74"," Atheist (do not believe in God) ","$10-20k",27
"75"," Agnostic (not sure if there is a God) ","$10-20k",34
"76"," Nothing in particular ","$10-20k",299
"77"," Christian (VOL) ","$10-20k",45
"78"," Unitarian (Universalist) (VOL) ","$10-20k",7
"79"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$10-20k",0
"80"," Mixed Christian and non-Christian (VOL) ","$10-20k",0
"81"," Messianic Jews (Jews for Jesus) (VOL) ","$10-20k",1
"82"," Mixed non-Christians (VOL) ","$10-20k",0
"83"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$10-20k",0
"84"," Bahai (VOL) ","$10-20k",1
"85"," Native American Religions (VOL) ","$10-20k",4
"86"," Shinto (VOL) ","$10-20k",1
"87"," Tao (VOL) ","$10-20k",0
"88"," Rastafarian (VOL) ","$10-20k",0
"89"," Sikh (VOL) ","$10-20k",0
"90"," Zoroastrianism (VOL) ","$10-20k",0
"91"," Siddhayoga (VOL) ","$10-20k",0
"92"," New Age (VOL) ","$10-20k",0
"93"," Wica (Wiccan) (VOL) ","$10-20k",4
"94"," Pagan (VOL) ","$10-20k",8
"95"," Humanist (VOL) ","$10-20k",1
"96"," Scientology (VOL) ","$10-20k",0
"97"," Deist (VOL) ","$10-20k",2
"98"," Eclectic, a bit of everything, own beliefs (VOL) ","$10-20k",2
"99"," New Thought (VOL) ","$10-20k",0
"100"," Theosophy (VOL) ","$10-20k",0
"101"," Pantheist (VOL) ","$10-20k",0
"102"," Spiritual but not religious (VOL) ","$10-20k",4
"103"," Liberal faith (VOL) ","$10-20k",0
"104"," Asatru (Old Norse form of Paganism) (VOL) ","$10-20k",1
"105"," Druid (VOL) ","$10-20k",0
"106"," Transcendental meditation/Meditation (VOL) ","$10-20k",0
"107"," Shamanism (non-Western) (VOL) ","$10-20k",0
"108"," Eckankar (VOL) ","$10-20k",0
"109"," Self realization (VOL) ","$10-20k",0
"110"," Satanism (VOL) ","$10-20k",0
"111"," Animism (VOL) ","$10-20k",0
"112"," New Apostolic Church (VOL) ","$10-20k",2
"113"," Nihilist (VOL) ","$10-20k",0
"114"," Armenian Catholic (VOL) ","$10-20k",0
"115"," Greek rite Catholic (VOL) ","$10-20k",0
"116"," Maronite Catholic (VOL) ","$10-20k",0
"117"," National Catholic; Polish National Catholic (VOL) ","$10-20k",0
"118"," Old Catholic (VOL) ","$10-20k",0
"119"," Not Interpretable ","$10-20k",5
"120"," Don’t know/Refused (VOL) ","$10-20k",9
"121"," Christian Scientists (VOL) ","$10-20k",0
"122"," Religious science (VOL) ","$10-20k",1
"123"," Spiritualist (VOL) ","$10-20k",1
"124"," Unity; Unity Church Christ Church Unity (VOL) ","$10-20k",2
"125"," Metaphysical (VOL) ","$10-20k",0
"126"," Indian Shaker Church (VOL) ","$10-20k",0
"127"," Unification Church (Moonies) (VOL) ","$10-20k",0
"128"," Jehovah’s Witness (VOL) ","$10-20k",27
"129"," International Bible Students (VOL) ","$10-20k",0
"130"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$10-20k",0
"131"," Protestant ","$20-30k",1869
"132"," Roman Catholic ","$20-30k",732
"133"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$20-30k",48
"134"," Orthodox (Greek, Russian, or some other orthodox church) ","$20-30k",23
"135"," Jewish (Judaism) ","$20-30k",25
"136"," Muslim (Islam) ","$20-30k",9
"137"," Buddhist ","$20-30k",30
"138"," Hindu ","$20-30k",7
"139"," Atheist (do not believe in God) ","$20-30k",37
"140"," Agnostic (not sure if there is a God) ","$20-30k",60
"141"," Nothing in particular ","$20-30k",374
"142"," Christian (VOL) ","$20-30k",50
"143"," Unitarian (Universalist) (VOL) ","$20-30k",10
"144"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$20-30k",2
"145"," Mixed Christian and non-Christian (VOL) ","$20-30k",0
"146"," Messianic Jews (Jews for Jesus) (VOL) ","$20-30k",2
"147"," Mixed non-Christians (VOL) ","$20-30k",0
"148"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$20-30k",0
"149"," Bahai (VOL) ","$20-30k",1
"150"," Native American Religions (VOL) ","$20-30k",4
"151"," Shinto (VOL) ","$20-30k",0
"152"," Tao (VOL) ","$20-30k",0
"153"," Rastafarian (VOL) ","$20-30k",1
"154"," Sikh (VOL) ","$20-30k",0
"155"," Zoroastrianism (VOL) ","$20-30k",1
