"","<$10k","$10-20k","$20-30k","$30-40k","$40-50k","$50-75k","$75-100k","$100-150k",">150k","Don't know/refused"
" Protestant ",1068,1563,1869,1831,1682,2741,1960,1511,1087,3041
" Roman Catholic ",418,617,732,670,638,1115,947,790,633,1487
" Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ",29,40,48,51,56,112,85,49,42,69
" Orthodox (Greek, Russian, or some other orthodox church) ",13,17,23,32,32,47,38,42,46,73
" Jewish (Judaism) ",19,19,25,25,30,95,69,87,151,162
" Muslim (Islam) ",6,7,9,10,9,23,16,8,6,22
" Buddhist ",27,21,30,34,33,58,62,39,53,54
" Hindu ",1,9,7,9,11,34,47,48,54,37
" Atheist (do not believe in God) ",12,27,37,52,35,70,73,59,74,76
" Agnostic (not sure if there is a God) ",27,34,60,81,76,137,122,109,84,96
" Nothing in particular ",217,299,374,365,341,528,407,321,258,597
" Christian (VOL) ",24,45,50,44,47,75,59,46,39,155
" Unitarian (Universalist) (VOL) ",5,7,10,9,15,23,20,17,21,27
" Mixed Christians (e.g., Catholic AND Protestant) (VOL) ",0,0,2,0,2,0,1,0,0,1
" Mixed Christian and non-Christian (VOL) ",2,0,0,0,0,1,5,2,5,1
" Messianic Jews (Jews for Jesus) (VOL) ",1,1,2,2,3,0,1,1,0,0
" Mixed non-Christians (VOL) ",3,0,0,1,1,1,0,0,0,1
" Hebrew Israelite/African Hebrew Israelites (VOL) ",1,0,0,0,0,0,0,0,0,0
" Bahai (VOL) ",0,1,1,2,0,2,0,1,2,0
" Native American Religions (VOL) ",3,4,4,5,4,4,2,2,1,5
" Shinto (VOL) ",0,1,0,0,0,0,0,0,0,1
" Tao (VOL) ",1,0,0,1,1,1,1,1,1,0
" Rastafarian (VOL) ",1,0,1,0,0,1,0,0,0,1
" Sikh (VOL) ",0,0,0,0,0,1,1,1,0,1
" Zoroastrianism (VOL) ",0,0,1,0,0,0,0,0,1,2
" Siddhayoga (VOL) ",0,0,0,0,0,1,0,0,0,1
" New Age (VOL) ",0,0,0,0,0,2,1,1,0,0
" Wica (Wiccan) (VOL) ",2,4,6,3,3,7,7,2,1,4
" Pagan (VOL) ",4,8,7,7,2,5,4,1,1,4
" Humanist (VOL) ",0,1,0,1,0,0,1,2,0,1
" Scientology (VOL) ",1,0,0,1,0,1,0,0,1,0
" Deist (VOL) ",0,2,2,3,2,1,2,2,1,3
" Eclectic, a bit of everything, own beliefs (VOL) ",0,2,1,4,3,3,0,4,4,7
" New Thought (VOL) ",0,0,0,0,1,0,0,1,0,0
" Theosophy (VOL) ",0,0,1,0,0,0,0,0,0,0
" Pantheist (VOL) ",1,0,1,0,0,3,1,1,2,1
" Spiritual but not religious (VOL) ",3,4,5,8,10,11,6,4,6,8
" Liberal faith (VOL) ",0,0,3,3,5,2,1,1,2,7
" Asatru (Old Norse form of Paganism) (VOL) ",0,1,0,0,0,0,0,1,0,0
" Druid (VOL) ",0,0,0,0,2,0,0,0,0,2
" Transcendental meditation/Meditation (VOL) ",0,0,0,1,1,1,0,0,1,0
" Shamanism (non-Western) (VOL) ",0,0,0,0,0,0,1,0,0,1
" Eckankar (VOL) ",1,0,0,0,1,0,0,1,0,1
" Self realization (VOL) ",0,0,0,0,0,0,0,0,0,1
" Satanism (VOL) ",0,0,0,1,0,0,0,0,0,0
" Animism (VOL) ",0,0,0,0,0,0,0,1,0,0
" New Apostolic Church (VOL) ",0,2,0,0,1,0,0,0,0,0
" Nihilist (VOL) ",0,0,0,0,0,0,1,0,0,0
" Armenian Catholic (VOL) ",0,0,0,0,0,0,0,2,0,0
" Greek rite Catholic (VOL) ",0,0,0,0,0,0,0,0,0,1
" Maronite Catholic (VOL) ",0,0,0,0,0,0,1,0,0,0
" National Catholic; Polish National Catholic (VOL) ",0,0,0,0,0,0,1,0,0,1
" Old Catholic (VOL) ",0,0,0,0,0,1,0,0,0,0
" Not Interpretable ",3,5,1,1,1,3,2,2,3,1
" Don’t know/Refused (VOL) ",12,9,14,10,9,32,19,15,15,115
" Christian Scientists (VOL) ",1,0,1,2,3,1,1,1,3,3
" Religious science (VOL) ",0,1,1,3,0,4,3,3,1,3
" Spiritualist (VOL) ",1,1,1,2,2,4,3,2,1,2
" Unity; Unity Church Christ Church Unity (VOL) ",3,2,3,3,1,2,3,4,1,4
" Metaphysical (VOL) ",0,0,0,1,0,2,1,1,1,3
" Indian Shaker Church (VOL) ",0,0,1,0,0,0,0,0,0,0
" Unification Church (Moonies) (VOL) ",0,0,0,0,1,0,0,0,0,0
" Jehovah’s Witness (VOL) ",20,27,24,24,21,29,15,11,6,36
" International Bible Students (VOL) ",0,0,0,0,0,1,0,0,0,1
" Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ",0,0,0,0,0,0,0,0,0,1
